Tiempo,Comida
2019-08-28 05:25:44,Pan huevo
2019-08-28 05:25:54,Manzana
2019-08-28 05:26:03,Avena
2019-08-28 05:37:19,Vida max
2019-08-28 14:41:31,Arroz chaufa
2019-08-28 14:41:40,Sandía
2019-08-28 14:41:45,Hierba luisa
2019-08-28 17:53:06,Arrrow camote pollo zanahoria cebolla ají amarillo
2019-08-29 18:33:44,Manzana
2019-08-29 19:26:30,Arroz camote vaca pan queso
