Tiempo,Comida
2019-08-30 07:25:54,Leche huevo mango pan
2019-08-30 07:34:57,Vida max
2019-08-30 12:37:18,Pollo papa trigo zanahoria zapallo apio haba choclo
2019-08-30 12:42:31,Vaca arroz
2019-08-30 18:46:46,Vaca arroz lenteja plátano pan
