Tiempo,Comida
2019-07-22 07:37:32,Pan
2019-07-22 07:40:11,Quaker
2019-07-22 08:56:58,Pan con torreja
2019-07-22 08:59:30,Quinoa
2019-07-22 11:31:55,Pera Naranja
2019-07-22 12:55:10,Arroz lenteja cebolla tomate papa pescado zanahoria
2019-07-22 16:06:56,Naranja
2019-07-22 18:36:23,Arroz lenteja papa pescado ajo
