Tiempo,Comida
2019-08-27 05:23:21,Pan jamón queso
2019-08-27 05:23:31,plátano
2019-08-27 05:24:10,Avena
2019-08-27 10:30:28,Triple de pollo jamón y queso
2019-08-27 10:30:36,Empanada de carne
2019-08-27 15:45:47,Cebiche
2019-08-27 15:45:53,Yuca chicharrón de pescado
2019-08-27 20:00:59;Arroz papa pescado cebolla zanahoria vainita brócoli choclo
