Tiempo,Comida
2019-07-21 08:54:51,Naranja
2019-07-21 08:58:40,Pan
2019-07-21 09:00:07,Avena
2019-07-21 09:07:37,HMB
2019-07-21 12:52:17,Arroz zanahoria yuca pollo oregano
