Tiempo,Comida
2019-07-25 08:10:21,Pan jamón queso
2019-07-25 11:54:42,Pan tomate huevo palta
2019-07-25 12:04:02,Plátano
2019-07-25 13:26:07,Jugo de papaya
2019-07-25 13:26:56,Arroz pollo papa zanahoria tomate cebolla vainita choclo
