Tiempo,Comida
2019-08-29 05:21:10,Pan jamón y queso
2019-08-29 05:21:20,Plátano mandarina
2019-08-29 05:21:33,Leche
2019-08-29 14:10:44,Sopa de sémola
2019-08-29 14:10:53,Tallarines verdes con pollo
