Tiempo,Comida
2019-07-30 08:31:32,Plátano leche
2019-07-30 08:31:58,Pan queso jamón
2019-07-30 08:33:38,Pan torreja
2019-07-30 08:37:31,Leche de soya
2019-07-30 12:03:36,Plátano
2019-07-30 13:34:04,Pollo zanahoria vainita choclo
2019-07-30 13:38:11,Pollo pastel de papas pero en lugar de papa tiene fideos
